performers,cellist year,pianist year,recording year,Formula,cellist year cat,recording year cat
CH,1900,1892,1958,1916.6,1,2
DPB,1945,1942,1968,1951.6,3,2
FB,1906,1884,1955,1920.7,1,2
FvdP,1902,1902,1934,1911.6,1,1
GG,1944,1950,1994,1959,3,3
GGr,1981,1969,2012,1990.3,4,3
GGu,1971,1969,1999,1979.4,4,3
IH,1958,1961,2005,1972.1,4,3
MA,1955,1949,1991,1965.8,4,3
MG,1948,1950,1998,1963,3,3
ML,1961,1959,1988,1969.1,4,3
MP,1957,1944,2013,1973.8,4,3
PN,1971,1974,2019,1985.4,4,3
PR36,1903,1887,1936,1911.3,1,1
PR66,1903,1887,1966,1920.3,1,2
PS,1903,1900,1947,1916.2,1,2
PV,1948,1970,2002,1964.2,3,3
RS,1927,1903,1983,1943.8,2,2
SB,1924,1925,1951,1932.1,2,2
SS,1924,1922,1964,1936,2,2
